축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
허균문화제,허균허난설헌기념공원,2020-10-10,2020-10-11,"재례 및 허균문학 작가상 시상식, 학술대회, 한복체험, 인형극 공연 등",(사)교산·난설헌선양회,강릉시,,000-0000-0000,http://www.hongkildong.or.kr/,http://www.hongkildong.or.kr/web2011/board.php?board=moon&command=body&no=5&config=5,강원도 강릉시 난설헌로 193번길 1-16 (초당동),강원도 강릉시 초당동 477,37.79187317,128.9096453,2020-01-01
난설헌허초희 문화제,허균허난설헌기념공원,2020-04-11,2020-04-12,"솔밭음악회,체험,인형극 등",(사)교산·난설헌선양회,강릉시,,033-640-5580,http://www.hongkildong.or.kr/,http://www.hongkildong.or.kr/web2011/board.php?board=nan&command=body&no=5&config=5,강원도 강릉시 난설헌로 193번길 1-16 (초당동),강원도 강릉시 초당동 477,37.79187317,128.9096453,2020-01-01
강릉망월제,강릉남대천 일원,2020-02-08,2020-02-08,"망월제례, 민속놀이 등",임영민속연구회,강릉시,,033-651-0886,,,강원도 강릉시 남대천,,,,2020-01-01
강릉단오제,강릉시 남대천 단오장 및 지정행사장,2020-06-21,2020-06-28,"문화재행사, 공연, 체험, 전시, 시민참여행사, 경축부대행사및 난장 등",(사)강릉단오제위원회(사)강릉단오제보존회 외,"(사)강릉단오제위원회,(사)강릉단오제보존회","강원도, 문화체육관광부",033-641-1593,http://www.danojefestival.or.kr/,"축제개요,역사,사진자료 등",강원도 강릉시 단오장길 1 (노암동),강원도 강릉시 노암동 722-2,37.74820212,128.8950714,2020-01-01
강릉커피축제,"강릉아레나, 안목해변",2020-10-01,2020-10-04,"100인100미 강릉바리스타 퍼포먼스, 커피경연대회(바리스타, 핸드드립, 커핑, 마카롱) , 커피체험(로스팅, 추출, 커핑, 공예품 등), 전시, 공연 등",강릉문화재단,강릉시,"문화체육관광부, 강원도",033-647-6802,http://www.coffeefestival.net/,http://korean.visitkorea.or.kr/kor/bz15/where/festival/festival.jsp?cid=825295,강원도 강릉시 수리골길 102(초당동),강원도 강릉시 포남동 산90-1,37.77929864,128.8970866,2020-01-01
둔내고랭지토마토축제,둔내면사무소~둔내파출소 간,2019-08-09,2019-08-11,"토마토풀장, 향토음식체험, 추억의 물총놀이 등",둔내고랭지토마토축제위원회,강원도 횡성군 둔내면사무소,,033-340-2704,,,강원도 횡성군 둔내면 둔내로51번길 17,강원도 횡성군 둔내면 자포곡리 402,,,2019-12-18
안흥찐빵축제,주천강 실미교 아래 둔치,2019-09-27,2019-09-29,"안흥찐빵 시식 및 홍보, 농경문화 체험, 먹거리장터운영 등",안흥찐빵축제위원회,강원도 횡성군 안흥면사무소,,033-340-2703,,,강원도 횡성군 안흥면 안흥로 27,강원도 횡성군 안흥면 안흥리 284-11,,,2019-12-18
횡성더덕축제,청일면 유동3리 농거리야영장,2019-08-30,2019-09-01,"더덕요리경연대회, 더덕캐기체험, 더덕품평회 등",횡성더덕축제위원회,강원도 횡성군 청일면사무소,,033-340-2706,,,강원도 횡성군 청일면 유동로 17,강원도 횡성군 청일면 유동리 850-2,,,2019-12-18
횡성한우축제,횡서읍 섬강둔치 일원,2019-10-02,2019-10-06,"한우구이터, 발골이벤트, 한우퍼레이드, 스템프투어 등",횡성문화재단,강원도 횡성군청,,033-340-5712,http://www.hscf.or.kr,,강원도 횡성군 횡성읍 문예로 75,강원도 횡성군 횡성읍 읍하리 260,,,2019-12-18
